"","income","members","rooms","head.educ","head.age","dwelling.na","dwelling.house","dwelling.hut","dwelling.flat","dwelling.semidetached","dwelling.backyard.house","dwelling.backyard.shack","dwelling.shack","dwelling.flatlet","dwelling.caravan","prov.Western.Cape","prov.Eastern.Cape","prov.Northern.Cape","prov.Free.State","prov.KwaZulu.Natal","prov.North.West","prov.Gauteng","prov.Mpumalanga","prov.Limpopo","roof.na","roof.brick","roof.concrete","roof.iron","roof.wood","roof.plastic","roof.cardboard","roof.mudcement","roof.wattle","roof.tile","roof.mudbricks","roof.thatching","roof.sheeting","roof.rock","wall.na","wall.brick","wall.concrete","wall.iron","wall.wood","wall.plastic","wall.cardboard","wall.mudcement","wall.wattle","wall.tile","wall.mudbricks","wall.thatching","wall.sheeting","wall.rock","dwelling.own.yes","dwelling.own.no","water.na","water.piped","water.yard","water.public","water.tanker","water.priv.borehole","water.com.borehole","water.rain.tank","water.stream","water.dam","water.well","water.spring","water.neighbour","toilet.na","toilet.flush.onsite","toilet.flush.offsite","toilet.chemical","toilet.pit.ventilation","toilet.pit.noventilation","toilet.bucket","toilet.share.na","toilet.share.yes","toilet.share.no","electricity.na","electricity.yes","electricity.no","landline.na","landline.working","landline.not.working","landline.no","cellphone.use.na","cellphone.use.yes","cellphone.use.no","refuse.removal.na","refuse.removal.yes","refuse.removal.no","street.light.working","street.light.not.working","street.light.no","radio.na","radio.yes","radio.no","hifi.na","hifi.yes","hifi.no","tv.na","tv.yes","tv.no","satelite.na","satelite.yes","satelite.no","video.na","video.yes","video.no","computer.na","computer.yes","computer.no","camera.na","camera.yes","camera.no","cellphone.own.na","cellphone.own.yes","cellphone.own.no","tv.les.na","tv.les.yes","tv.les.no","gas.stove.na","gas.stove.yes","gas.stove.no","microwave.na","microwave.yes","microwave.no","fridge.na","fridge.yes","fridge.no","washer.na","washer.yes","washer.no","district.council.Don.t.Know","district.council.Refused","district.council.Same.as","district.council.Missing","district.council.West.Coast","district.council.Boland","district.council.Overberg","district.council.Eden","district.council.Central.Karoo","district.council.Namakwa","district.council.Karoo","district.council.Siyanda","district.council.Frances.Baard","district.council.Cacadu","district.council.Amatole","district.council.Chris.Hani","district.council.Ukhahlamba","district.council.O.R.Tambo","district.council.Xhariep","district.council.Motheo","district.council.Lejweleputswa","district.council.Thabo.Mofutsanyane","district.council.Northern.Free.State","district.council.Ugu","district.council.Umgungundlovu","district.council.Uthukela","district.council.Umzinyathi","district.council.Amajuba","district.council.Zululand","district.council.Umkhanyakude","district.council.Uthungulu","district.council.Ilembe","district.council.Govan.Mbeki","district.council.Nkangala","district.council.Ehlanzeni","district.council.Mopani","district.council.Vhembe","district.council.Capricorn","district.council.Waterberg","district.council.Bojanala","district.council.Central","district.council.Bophirima","district.council.Southern","district.council.Sedibeng","district.council.Sisonke","district.council.Alfred.Nzo","district.council.Tshwane","district.council.Kgalagadi","district.council.Metsweding","district.council.Sekhukhune.Cross.Boundary","district.council.Bohlabela","district.council.West.Rand","district.council.Cape.Town","head.absent.no","head.absent.yes","head.male","head.female"
"3",5.39989788936003,6,3,0,62,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"4",4.96886468558585,2,1,5,47,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"5",6.45215455700998,2,4,0,50,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"6",4.18925716384115,3,5,0,38,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"7",7.48890197381862,1,6,7,37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"8",5.71166413372492,6,4,0,79,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"9",5.50332160960866,5,3,6,68,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"10",5.87372615331228,7,3,0,44,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"11",5.83364762672998,8,3,4,43,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"12",3.94122214914286,6,5,0,79,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
