"","income","members","rooms","dwelling","prov","roof","wall","dwelling.own","water","toilet","toilet.share","electricity","landline","cellphone.use","refuse.removal","street.light","radio","hifi","tv","satelite","video","computer","camera","cellphone.own","tv.les","gas.stove","microwave","fridge","washer","district.council","head.absent","head","head.educ","head.age"
"2174",5.32324377103968,3,2,"na","Eastern.Cape","cardboard","na","no","priv.borehole","na","yes","na","not.working","yes","na","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Refused","no","female",6,40
"2175",8.07090608878782,1,3,"na","Eastern.Cape","cardboard","na","no","priv.borehole","na","yes","na","not.working","na","na","no","yes","yes","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Refused","no","female",13,26
"2176",6.11958365659947,1,2,"na","Eastern.Cape","cardboard","na","yes","priv.borehole","na","na","na","not.working","yes","na","working","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Refused","no","female",6,43
"2177",6.36875877824945,6,2,"na","Eastern.Cape","iron","na","yes","priv.borehole","na","yes","na","not.working","na","na","no","na","na","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Refused","no","male",0,58
"2178",6.5510803350434,2,3,"na","Eastern.Cape","cardboard","na","yes","priv.borehole","na","yes","na","not.working","yes","na","working","yes","yes","na","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Refused","no","female",6,72
"2179",5.99146454710798,1,3,"na","Eastern.Cape","iron","na","yes","priv.borehole","na","yes","na","not.working","yes","na","working","na","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Refused","no","female",5,47
"2180",6.64639051484773,2,4,"na","Eastern.Cape","cardboard","na","yes","priv.borehole","na","yes","na","not.working","yes","na","working","yes","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Refused","no","female",8,74
"2181",5.23231879568141,3,2,"na","Eastern.Cape","cardboard","na","yes","priv.borehole","na","na","na","not.working","yes","na","working","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Refused","no","female",0,46
"2182",5.10486197549223,6,2,"na","Eastern.Cape","cardboard","na","yes","priv.borehole","na","na","na","not.working","na","na","not.working","yes","na","na","yes","na","yes","yes","na","na","yes","na","na","yes","Refused","no","female",12,33
"2183",6.72142570079064,4,2,"na","Eastern.Cape","cardboard","na","yes","priv.borehole","na","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","yes","na","na","yes","yes","na","yes","Refused","no","male",12,35
"2184",6.03428454429091,2,1,"na","Eastern.Cape","cardboard","na","yes","priv.borehole","na","yes","na","not.working","yes","na","working","na","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Refused","no","male",5,54
"2185",5.19295685089021,4,1,"na","Eastern.Cape","cardboard","na","no","priv.borehole","na","yes","na","not.working","na","na","working","yes","yes","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Refused","no","female",11,31
"2186",7.23525884562059,4,3,"na","Eastern.Cape","cardboard","na","yes","priv.borehole","na","yes","na","not.working","na","na","working","na","na","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Refused","no","male",8,52
"2187",5.16478597392351,2,1,"na","Eastern.Cape","cardboard","na","no","tanker","na","yes","na","not.working","yes","na","working","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Refused","no","female",6,22
"2188",6.50274932448002,2,2,"na","Eastern.Cape","cardboard","na","yes","priv.borehole","na","na","na","not.working","yes","na","not.working","na","na","na","yes","yes","yes","yes","yes","na","yes","na","na","yes","Refused","no","male",7,69
"2189",5.80914299031403,3,6,"flatlet","Gauteng","rock","na","no","well","na","yes","na","not.working","na","yes","no","na","na","na","yes","na","yes","yes","na","na","na","na","na","na","Metsweding","no","male",17,39
"2190",6.94090545143793,5,4,"na","Eastern.Cape","cardboard","na","yes","priv.borehole","na","yes","na","not.working","na","na","not.working","na","na","na","yes","na","yes","yes","na","na","yes","na","na","yes","Refused","no","male",8,48
"2191",8.1843887806373,1,3,"na","Eastern.Cape","cardboard","na","no","priv.borehole","na","yes","na","not.working","na","na","no","na","na","na","yes","na","yes","na","na","na","yes","na","na","yes","Refused","no","male",13,37
"2192",8.10167774745457,1,-3,"flatlet","Gauteng","cardboard","na","yes","priv.borehole","na","na","na","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Metsweding","no","female",9,40
"2193",8.51385422482881,1,1,"na","Gauteng","cardboard","na","no","priv.borehole","na","na","na","not.working","na","yes","not.working","na","yes","yes","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Metsweding","no","male",12,29
"2194",8.85344588664089,1,-3,"na","Northern.Cape","cardboard","na","no","na","na","yes","na","na","na","yes","no","yes","yes","na","yes","na","na","na","na","na","yes","na","na","na","Kgalagadi","no","male",13,36
"2195",7.29646234397331,1,1,"flatlet","Northern.Cape","cardboard","na","no","priv.borehole","na","na","no","not.working","na","yes","no","na","yes","na","yes","yes","yes","yes","na","na","yes","yes","yes","na","Kgalagadi","no","male",0,33
"2196",5.67580923440808,5,3,"flatlet","Northern.Cape","cardboard","na","no","na","na","na","na","not.working","na","yes","working","na","na","na","yes","na","yes","yes","na","na","yes","yes","na","na","Kgalagadi","no","male",0,34
"2197",6.32294387110998,2,2,"na","Eastern.Cape","cardboard","na","yes","priv.borehole","na","yes","na","not.working","yes","na","working","na","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Refused","no","female",4,55
"2198",7.16365762315203,2,3,"na","Northern.Cape","cardboard","na","no","priv.borehole","na","na","na","not.working","na","yes","no","na","yes","na","yes","yes","yes","yes","yes","na","na","yes","yes","yes","Kgalagadi","no","male",0,40
"2199",6.14523499282506,4,3,"flatlet","Northern.Cape","cardboard","na","no","priv.borehole","na","yes","na","not.working","no","yes","no","na","yes","na","yes","yes","yes","yes","yes","na","yes","yes","na","na","Kgalagadi","no","male",0,53
"2200",4.94394268953966,3,2,"na","North.West","cardboard","na","yes","com.borehole","pit.ventilation","yes","yes","not.working","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Govan Mbeki","no","female",8,35
"2201",5.33913936106829,6,2,"na","North.West","cardboard","na","yes","com.borehole","pit.ventilation","yes","yes","not.working","yes","yes","no","na","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Govan Mbeki","no","male",6,54
"2202",5.788620856188,9,5,"na","North.West","cardboard","na","yes","com.borehole","chemical","yes","yes","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","na","yes","Govan Mbeki","no","female",8,77
"2203",5.98569825915429,5,3,"na","North.West","cardboard","na","yes","com.borehole","chemical","yes","yes","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Govan Mbeki","no","female",3,70
"2204",6.74476565048767,5,4,"na","North.West","cardboard","na","yes","com.borehole","pit.ventilation","yes","yes","not.working","na","yes","no","na","na","na","yes","yes","yes","yes","na","yes","yes","na","yes","yes","Govan Mbeki","no","female",10,46
"2205",6.28626408732863,7,4,"backyard.shack","North.West","cardboard","na","yes","com.borehole","pit.ventilation","yes","yes","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Govan Mbeki","no","male",0,81
"2206",6.75110146893676,2,4,"hut","North.West","cardboard","na","yes","com.borehole","pit.ventilation","yes","yes","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Govan Mbeki","no","female",11,26
"2207",7.74286573303202,7,6,"na","Gauteng","rock","na","yes","na","na","yes","na","not.working","na","na","not.working","na","na","na","yes","na","na","na","na","na","yes","na","na","na","Alfred Nzo","no","male",12,33
"2208",9.10497985631836,1,4,"na","Gauteng","plastic","plastic","no","na","na","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","na","na","na","yes","na","na","na","Alfred Nzo","no","male",10,21
"2209",8.60642432514418,3,6,"na","Gauteng","rock","na","yes","na","na","na","na","not.working","na","na","working","na","na","na","na","na","na","na","na","na","yes","na","na","na","Alfred Nzo","no","male",12,47
"2210",4.06775666455758,2,1,"na","North.West","cardboard","thatching","yes","com.borehole","chemical","yes","na","not.working","yes","yes","no","na","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Nkangala","no","male",0,48
"2211",5.7455494912524,5,5,"na","North.West","cardboard","na","yes","com.borehole","chemical","yes","na","not.working","na","yes","no","na","na","na","yes","yes","yes","yes","yes","na","na","yes","na","yes","Nkangala","no","female",0,76
"2212",5.33110718937103,3,1,"flatlet","Gauteng","cardboard","cardboard","yes","com.borehole","pit.ventilation","na","yes","not.working","yes","yes","no","na","yes","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","Sedibeng","no","female",11,25
"2213",6.24739792124518,3,2,"flatlet","Gauteng","cardboard","cardboard","yes","com.borehole","pit.ventilation","yes","yes","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Sedibeng","no","male",11,38
"2214",7.03878354138854,1,2,"flatlet","Gauteng","cardboard","cardboard","yes","com.borehole","pit.ventilation","na","yes","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Sedibeng","no","female",3,63
"2215",7.79152281915073,1,1,"flatlet","Gauteng","cardboard","cardboard","yes","priv.borehole","pit.ventilation","na","yes","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Sedibeng","no","male",10,32
"2217",8.21608809863232,3,3,"na","Gauteng","rock","na","no","na","na","yes","na","not.working","na","na","working","na","na","na","yes","na","na","na","na","na","na","yes","na","na","Alfred Nzo","no","male",11,39
"2218",5.90700002052775,7,-3,"hut","Eastern.Cape","plastic","thatching","yes","stream","pit.ventilation","yes","na","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Same as","no","male",0,75
"2219",6.4449258534844,5,-3,"na","Eastern.Cape","cardboard","plastic","yes","com.borehole","pit.ventilation","yes","na","not.working","na","yes","working","na","yes","yes","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Same as","no","male",12,50
"2220",5.16904942063529,4,4,"na","Eastern.Cape","cardboard","na","yes","priv.borehole","pit.ventilation","yes","na","not.working","yes","yes","working","na","yes","na","yes","yes","yes","yes","yes","na","yes","na","na","yes","Same as","no","female",0,59
"2221",4.78749174278205,3,3,"na","North.West","cardboard","na","yes","com.borehole","pit.ventilation","yes","yes","not.working","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Govan Mbeki","no","male",7,55
"2222",5.52810546058091,6,4,"na","North.West","cardboard","na","yes","com.borehole","pit.ventilation","yes","yes","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","na","yes","Govan Mbeki","no","female",9,43
"2223",3.98925626586594,16,3,"na","North.West","cardboard","na","yes","com.borehole","pit.ventilation","yes","yes","working","na","yes","no","yes","yes","na","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Govan Mbeki","no","female",0,48
"2224",5.34319164726738,5,1,"na","North.West","cardboard","brick","yes","com.borehole","pit.ventilation","yes","yes","not.working","yes","yes","no","na","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Govan Mbeki","no","female",0,61
"2225",6.46332087874849,2,6,"na","North.West","cardboard","na","yes","com.borehole","pit.ventilation","yes","yes","not.working","yes","yes","not.working","na","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Govan Mbeki","no","male",3,77
"2226",6.378225027193,2,6,"na","North.West","cardboard","na","yes","na","pit.ventilation","yes","yes","working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Govan Mbeki","no","female",10,48
"2227",7.2152399787301,3,3,"backyard.shack","Gauteng","plastic","na","no","na","na","yes","na","not.working","na","na","working","na","yes","na","yes","yes","yes","yes","na","na","yes","na","na","yes","Alfred Nzo","no","male",12,33
"2228",8.72422937952834,3,-3,"na","Gauteng","rock","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","yes","yes","yes","na","na","yes","na","na","na","Alfred Nzo","no","male",12,36
"2229",8.40913276692139,5,6,"na","Gauteng","cardboard","na","yes","na","na","yes","na","not.working","na","na","not.working","na","na","na","yes","yes","yes","yes","na","na","yes","na","na","na","Alfred Nzo","no","male",10,49
"2230",6.85118492749374,2,7,"na","North.West","cardboard","na","yes","com.borehole","chemical","yes","yes","not.working","na","yes","no","na","yes","na","yes","yes","yes","yes","yes","yes","na","yes","na","yes","Govan Mbeki","no","female",8,81
"2231",6.90775527898214,3,3,"na","Gauteng","rock","na","yes","na","na","yes","na","not.working","na","na","not.working","na","yes","yes","yes","yes","yes","yes","na","na","yes","yes","na","yes","Alfred Nzo","no","female",10,42
"2232",8.22862176527334,5,5,"na","Gauteng","rock","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","na","na","na","na","na","na","yes","na","na","na","Alfred Nzo","no","male",9,41
"2233",7.09007683577609,2,1,"na","Gauteng","iron","na","no","na","na","yes","na","not.working","na","na","working","na","yes","yes","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Alfred Nzo","no","male",5,44
"2234",9.37806040071475,1,4,"na","Gauteng","rock","na","yes","na","na","na","na","not.working","na","na","working","na","na","na","yes","yes","yes","yes","na","na","yes","na","na","na","Alfred Nzo","no","male",10,55
"2235",6.71540232554927,3,-3,"caravan","Gauteng","iron","na","no","na","na","yes","na","not.working","na","na","working","yes","yes","na","yes","yes","yes","yes","yes","yes","na","yes","na","yes","Alfred Nzo","no","male",0,26
"2236",6.19794470239777,4,2,"backyard.shack","Gauteng","iron","na","no","na","na","yes","na","not.working","yes","na","working","na","na","na","yes","na","yes","yes","na","na","yes","yes","yes","yes","Alfred Nzo","no","male",12,32
"2237",8.85366542803745,1,2,"flat","Gauteng","rock","na","no","na","na","yes","na","not.working","na","na","working","na","na","na","yes","yes","yes","yes","na","na","yes","na","na","na","Alfred Nzo","no","male",11,49
"2239",5.19950512049985,8,5,"hut","North.West","cardboard","plastic","yes","com.borehole","pit.ventilation","yes","yes","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Govan Mbeki","no","male",0,96
"2240",7.37148929521428,1,5,"na","North.West","cardboard","na","yes","com.borehole","pit.ventilation","yes","yes","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Govan Mbeki","no","female",0,57
"2241",6.00182730897439,1,3,"na","Limpopo","cardboard","na","no","na","pit.ventilation","na","na","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Amajuba","no","male",6,58
"2242",6.68773185500417,1,1,"na","Limpopo","cardboard","na","no","na","pit.ventilation","na","no","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Amajuba","no","male",6,48
"2243",8.17470288246946,1,1,"flatlet","Limpopo","cardboard","cardboard","yes","na","pit.ventilation","na","yes","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Amajuba","no","male",5,52
"2244",7.76817244449987,4,7,"na","North.West","rock","na","yes","na","na","yes","na","not.working","na","na","working","na","yes","na","yes","na","yes","na","na","na","yes","na","na","na","Govan Mbeki","no","male",12,57
"2245",6.50003029505833,3,6,"na","North.West","iron","na","yes","na","na","yes","na","not.working","na","na","no","yes","yes","na","na","yes","yes","yes","na","na","yes","yes","na","yes","Govan Mbeki","no","female",6,77
"2246",6.83884553641392,7,6,"na","North.West","rock","na","yes","na","na","yes","na","na","na","yes","not.working","yes","yes","na","yes","na","na","yes","na","na","yes","na","na","yes","Govan Mbeki","no","male",12,46
"2247",8.07072617148062,4,5,"na","North.West","rock","na","yes","na","na","yes","na","not.working","na","yes","working","yes","yes","na","na","na","yes","yes","na","na","na","na","na","na","Govan Mbeki","no","male",15,37
"2248",7.69368421771615,3,5,"na","North.West","rock","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","yes","na","na","yes","na","na","na","Govan Mbeki","no","female",13,58
"2249",9.73151228779632,5,5,"na","North.West","rock","na","yes","na","na","yes","na","na","na","na","working","na","yes","na","na","na","na","na","na","na","na","na","na","na","Govan Mbeki","no","male",12,58
"2250",7.43838353004431,2,6,"na","North.West","rock","na","no","na","na","yes","na","not.working","na","na","working","na","na","yes","na","yes","yes","yes","na","na","yes","na","na","yes","Govan Mbeki","no","female",13,33
"2251",8.28490905394895,1,4,"na","North.West","iron","na","yes","na","na","na","na","not.working","na","na","working","yes","na","na","yes","na","na","yes","na","na","yes","yes","na","yes","Govan Mbeki","no","male",12,25
"2252",10.9402244374862,1,5,"flat","North.West","rock","na","no","na","na","yes","na","not.working","na","na","working","yes","yes","na","na","na","na","na","na","na","yes","na","na","yes","Govan Mbeki","no","male",17,38
"2253",8.68482667550283,3,6,"na","North.West","na","rock","yes","na","na","yes","na","not.working","na","na","not.working","na","na","na","na","na","na","na","na","na","yes","na","na","na","Govan Mbeki","no","male",15,46
"2254",7.22402480828583,3,3,"na","North.West","iron","na","no","na","na","yes","na","not.working","na","na","no","na","yes","na","yes","na","na","yes","na","na","yes","na","na","na","Govan Mbeki","no","female",13,43
"2256",7.13362927891396,8,7,"na","North.West","na","rock","yes","na","na","yes","na","na","na","na","not.working","na","yes","na","yes","na","yes","na","na","na","na","na","na","na","Govan Mbeki","no","male",4,80
"2257",6.86171134048073,2,6,"na","North.West","rock","na","yes","na","na","yes","na","na","na","na","working","na","na","na","na","na","yes","yes","na","na","na","na","na","na","Govan Mbeki","no","female",13,32
"2258",7.97246601597457,1,5,"na","North.West","rock","na","no","na","na","yes","na","not.working","na","no","working","na","na","na","yes","yes","yes","yes","na","na","yes","na","na","yes","Govan Mbeki","no","male",11,27
"2259",7.72969004361507,4,7,"na","North.West","rock","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","na","na","na","na","na","na","yes","na","na","yes","Govan Mbeki","no","male",13,54
"2260",8.6177202085806,3,9,"na","North.West","rock","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","yes","na","yes","na","na","yes","na","na","na","Govan Mbeki","no","female",13,50
"2261",7.93084088795074,3,9,"na","North.West","rock","na","yes","na","na","yes","na","na","na","na","working","na","yes","na","yes","na","yes","na","na","na","yes","na","na","na","Govan Mbeki","no","male",15,63
"2263",7.77111589240546,2,4,"na","North.West","rock","na","yes","na","na","yes","na","na","na","na","working","yes","na","na","yes","na","yes","yes","na","na","yes","na","na","na","Mopani","no","male",10,76
"2264",8.32873998378958,1,1,"hut","Limpopo","cardboard","cardboard","yes","na","na","na","yes","na","na","yes","not.working","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Amajuba","no","male",2,51
"2266",7.30356684487332,3,4,"na","North.West","cardboard","na","yes","priv.borehole","pit.ventilation","yes","na","not.working","na","yes","no","na","yes","na","yes","yes","yes","yes","na","na","na","na","na","yes","Kgalagadi","no","female",7,53
"2267",5.92247167562103,6,5,"semidetached","Limpopo","cardboard","na","yes","com.borehole","chemical","no","na","not.working","na","yes","no","yes","na","na","yes","yes","yes","yes","na","yes","yes","yes","na","yes","Amajuba","no","female",10,31
"2268",5.48063892334199,5,8,"semidetached","Limpopo","cardboard","na","yes","priv.borehole","chemical","no","na","not.working","na","no","no","na","yes","na","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Amajuba","no","female",0,68
"2269",5.62040086571715,5,4,"na","Limpopo","cardboard","na","yes","com.borehole","pit.ventilation","yes","na","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Amajuba","no","female",0,61
"2270",6.4635139072782,2,4,"backyard.shack","Limpopo","cardboard","na","yes","priv.borehole","chemical","no","na","not.working","na","yes","no","na","yes","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Amajuba","no","female",0,68
"2271",7.88419993367604,4,3,"na","Limpopo","cardboard","plastic","yes","priv.borehole","pit.ventilation","yes","na","not.working","na","yes","no","na","na","na","yes","na","yes","na","na","yes","yes","na","yes","yes","Amajuba","no","male",12,37
"2274",4.84811636459848,4,2,"na","Limpopo","cardboard","plastic","yes","priv.borehole","pit.ventilation","yes","na","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Amajuba","no","female",0,57
"2275",6.70567724421773,3,4,"na","Mpumalanga","cardboard","na","yes","priv.borehole","na","na","na","not.working","yes","na","working","yes","yes","na","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Umgungundlovu","no","female",12,22
"2276",6.05774627606393,10,5,"na","Mpumalanga","cardboard","na","yes","na","na","yes","na","not.working","na","na","no","na","yes","na","yes","na","yes","yes","na","na","yes","na","na","yes","Umgungundlovu","no","female",0,79
"2277",7.8257970160141,2,4,"na","Mpumalanga","rock","na","no","na","na","yes","na","not.working","yes","na","no","yes","na","na","na","yes","yes","yes","yes","na","yes","na","na","na","Umgungundlovu","no","male",12,30
"2278",5.37202433907911,2,1,"flatlet","Mpumalanga","cardboard","cardboard","no","priv.borehole","na","yes","na","not.working","yes","na","no","na","yes","na","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Umgungundlovu","no","female",0,53
"2279",5.81222101201306,6,5,"na","Mpumalanga","cardboard","na","yes","priv.borehole","na","yes","na","na","na","na","working","na","na","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Umgungundlovu","no","female",2,70
"2281",6.50838356787721,2,3,"na","Mpumalanga","cardboard","na","yes","na","na","yes","na","not.working","yes","na","working","na","na","na","na","yes","yes","yes","yes","na","yes","yes","yes","yes","Umgungundlovu","no","female",1,80
"2282",5.157611512642,1,1,"na","Mpumalanga","cardboard","cardboard","yes","na","na","yes","na","not.working","yes","na","no","na","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Umgungundlovu","no","male",0,58
"2283",5.2134218691788,5,4,"na","Mpumalanga","cardboard","cardboard","yes","na","na","yes","na","not.working","na","na","no","na","na","yes","yes","yes","yes","yes","na","yes","yes","yes","na","yes","Umgungundlovu","no","male",4,39
"2284",6.41716811018573,4,5,"na","Mpumalanga","cardboard","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","yes","na","na","yes","yes","na","yes","Umgungundlovu","no","male",3,83
"2285",6.60890166154867,4,3,"na","Mpumalanga","cardboard","cardboard","yes","na","na","yes","na","not.working","na","na","no","na","yes","na","yes","na","yes","yes","na","na","yes","na","na","na","Umgungundlovu","no","male",0,55
"2286",6.71349749457485,5,4,"na","Mpumalanga","cardboard","iron","yes","priv.borehole","na","yes","na","not.working","na","na","working","na","na","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Umgungundlovu","no","male",8,42
"2287",6.4128818183187,5,2,"na","Mpumalanga","cardboard","na","yes","na","na","yes","na","not.working","na","na","no","na","yes","na","yes","na","yes","yes","na","na","yes","na","na","yes","Umgungundlovu","no","male",9,47
"2288",6.90142775492515,7,7,"na","Mpumalanga","rock","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","yes","yes","yes","na","na","yes","na","na","na","Umgungundlovu","no","female",7,53
"2289",6.04810035971059,9,5,"na","Mpumalanga","cardboard","na","yes","priv.borehole","na","yes","na","not.working","na","na","no","na","yes","na","na","na","yes","yes","na","na","na","na","na","na","Umgungundlovu","no","male",13,52
"2290",7.26494815517705,2,6,"na","Mpumalanga","rock","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","na","na","yes","yes","na","na","yes","na","na","na","Umgungundlovu","no","male",7,48
"2291",7.47832363305518,4,3,"shack","Mpumalanga","cardboard","cardboard","yes","priv.borehole","na","yes","yes","not.working","na","na","no","yes","yes","na","yes","na","yes","yes","na","yes","yes","na","na","yes","Umgungundlovu","no","male",11,36
"2292",10.9764970700791,1,5,"na","Mpumalanga","rock","na","no","na","na","yes","na","not.working","na","na","working","yes","yes","yes","yes","yes","yes","yes","na","na","yes","yes","na","yes","Umgungundlovu","no","male",15,51
"2293",5.76097081142188,7,3,"na","Mpumalanga","cardboard","na","yes","na","na","yes","na","not.working","na","na","no","yes","yes","na","yes","yes","yes","yes","yes","na","na","na","na","na","Umgungundlovu","no","male",0,45
"2294",7.49209702498855,4,9,"na","Mpumalanga","rock","na","yes","na","na","yes","na","na","na","na","no","na","yes","na","yes","na","yes","yes","na","na","yes","yes","na","yes","Umgungundlovu","no","male",13,55
"2295",8.11560230708323,6,6,"na","Mpumalanga","rock","na","yes","na","na","yes","na","na","na","na","working","na","na","na","na","na","na","na","na","na","yes","na","na","na","Umgungundlovu","no","male",13,38
"2296",8.68552847872665,1,1,"backyard.shack","Mpumalanga","rock","na","no","priv.borehole","na","na","na","not.working","na","na","not.working","yes","yes","yes","yes","yes","yes","yes","na","na","na","yes","yes","yes","Umgungundlovu","no","female",13,35
"2297",7.03598836877111,3,2,"backyard.house","Mpumalanga","cardboard","na","no","na","na","yes","na","not.working","na","na","no","na","yes","na","yes","na","na","yes","na","na","na","na","na","yes","Umgungundlovu","no","male",13,28
"2298",6.67971879532876,5,6,"na","Mpumalanga","rock","na","no","na","na","yes","na","not.working","na","na","no","yes","na","na","yes","na","yes","yes","na","na","na","na","na","na","Umgungundlovu","no","male",12,48
"2300",8.4547266195308,3,7,"na","Mpumalanga","rock","na","yes","na","na","yes","na","na","na","na","working","na","na","na","na","na","na","na","na","na","na","na","na","yes","Umgungundlovu","no","male",13,39
"2301",7.35598206171422,6,6,"na","Mpumalanga","rock","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","na","na","yes","na","na","na","yes","na","na","na","Umgungundlovu","no","male",12,48
"2302",7.47621473834147,7,6,"na","Mpumalanga","mudcement","na","yes","na","na","yes","na","na","na","na","working","na","na","na","yes","na","yes","yes","na","na","yes","na","na","na","Umgungundlovu","no","female",13,46
"2303",7.5873454828142,6,5,"na","Mpumalanga","rock","na","yes","na","na","yes","na","working","na","na","working","na","na","na","na","na","na","na","na","na","na","na","na","na","Umgungundlovu","no","male",13,48
"2304",7.30420175965348,6,6,"na","Mpumalanga","rock","na","no","na","na","yes","na","na","na","na","no","na","yes","na","yes","yes","yes","yes","na","na","yes","na","na","na","Umgungundlovu","no","male",12,46
"2305",8.71330809709766,1,2,"backyard.house","Mpumalanga","mudcement","na","no","na","na","yes","na","not.working","na","na","no","yes","yes","na","yes","yes","yes","yes","na","na","yes","na","na","yes","Umgungundlovu","no","male",13,39
"2306",8.67017829266706,1,6,"shack","Mpumalanga","rock","na","yes","na","na","yes","na","na","na","na","no","na","na","na","yes","na","yes","yes","na","na","yes","na","na","yes","Umgungundlovu","no","male",11,50
"2307",6.38233544111471,7,5,"na","Mpumalanga","rock","na","yes","na","na","yes","na","not.working","na","na","no","na","yes","na","yes","na","yes","yes","na","na","yes","yes","na","yes","Umgungundlovu","no","female",11,47
"2308",5.85793315448346,2,1,"backyard.shack","Mpumalanga","rock","na","no","priv.borehole","na","na","na","not.working","na","na","no","na","na","na","na","na","yes","yes","na","na","yes","na","na","yes","Umgungundlovu","no","male",12,43
"2309",7.7843081588014,3,5,"na","Mpumalanga","rock","na","no","na","na","yes","na","not.working","na","na","no","yes","yes","na","yes","na","yes","yes","na","na","yes","yes","na","na","Umgungundlovu","no","female",16,48
"2310",8.99864489565351,4,8,"shack","Mpumalanga","cardboard","na","yes","na","na","na","na","na","na","na","working","na","na","na","na","na","na","na","na","na","yes","yes","na","na","Umgungundlovu","no","male",13,40
