"","income","members","rooms","dwelling","prov","roof","wall","dwelling.own","water","toilet","toilet.share","electricity","landline","cellphone.use","refuse.removal","street.light","radio","hifi","tv","satelite","video","computer","camera","cellphone.own","tv.les","gas.stove","microwave","fridge","washer","district.council","head.absent","head","head.educ","head.age"
"30",6.38016019177874,3,1,"na","KwaZulu.Natal","iron","na","yes","priv.borehole","chemical","yes","na","not.working","na","na","working","na","yes","yes","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Central","no","female",12,23
"31",7.00306545878646,1,3,"flatlet","KwaZulu.Natal","thatching","cardboard","yes","com.borehole","pit.ventilation","na","na","not.working","na","na","working","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","na","yes","Central","no","female",8,63
"32",5.59710054172671,3,3,"na","KwaZulu.Natal","cardboard","brick","yes","com.borehole","pit.ventilation","yes","na","not.working","yes","na","working","na","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Central","no","male",5,51
"33",4.0943445622221,1,1,"flatlet","KwaZulu.Natal","cardboard","thatching","no","priv.borehole","na","na","na","not.working","yes","na","working","yes","yes","na","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Central","no","male",9,26
"34",6.07367423548545,4,3,"hut","KwaZulu.Natal","cardboard","thatching","yes","na","chemical","yes","na","not.working","na","yes","working","yes","yes","yes","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","female",4,57
"35",7.33028617420597,2,1,"na","KwaZulu.Natal","iron","na","yes","na","chemical","yes","na","working","na","na","working","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Central","no","male",9,44
"36",6.23409053908573,2,1,"na","KwaZulu.Natal","iron","na","yes","na","chemical","yes","na","working","na","na","working","na","yes","na","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Central","no","male",2,59
"37",5.7037824746562,1,1,"shack","KwaZulu.Natal","cardboard","thatching","no","na","na","na","na","not.working","na","na","working","yes","na","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","male",12,28
"38",6.5510803350434,3,1,"na","KwaZulu.Natal","iron","plastic","yes","priv.borehole","chemical","yes","na","not.working","na","na","working","na","yes","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Central","no","female",11,29
"39",7.23554112911382,1,1,"caravan","KwaZulu.Natal","cardboard","brick","yes","com.borehole","pit.ventilation","na","yes","not.working","na","na","working","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Central","no","male",7,59
"40",6.83279229898548,6,4,"na","KwaZulu.Natal","cardboard","na","yes","priv.borehole","na","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","yes","na","na","na","yes","na","yes","Central","no","female",11,44
"41",6.39692965521615,1,2,"flatlet","KwaZulu.Natal","thatching","cardboard","no","com.borehole","pit.ventilation","na","na","not.working","na","na","working","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Central","no","male",7,39
"44",7.94626364358054,1,2,"na","KwaZulu.Natal","cardboard","thatching","yes","priv.borehole","pit.ventilation","yes","na","not.working","na","na","working","na","na","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","male",10,44
"45",5.19295685089021,1,1,"flatlet","KwaZulu.Natal","cardboard","thatching","no","priv.borehole","na","na","na","not.working","na","na","working","yes","na","na","yes","yes","yes","yes","na","na","yes","na","na","yes","Central","no","male",11,27
"46",5.57838845652827,2,2,"flatlet","KwaZulu.Natal","cardboard","thatching","no","na","na","na","na","not.working","na","na","working","na","yes","yes","yes","yes","yes","yes","na","na","na","yes","yes","yes","Central","no","female",12,33
"47",5.94890493268919,3,3,"na","KwaZulu.Natal","wattle","mudbricks","yes","spring","bucket","yes","na","not.working","na","yes","no","na","yes","yes","yes","yes","yes","na","na","yes","yes","yes","yes","yes","Central","no","female",6,29
"48",5.11599580975408,3,-3,"hut","KwaZulu.Natal","cardboard","brick","yes","priv.borehole","pit.ventilation","yes","na","not.working","na","yes","no","na","yes","na","yes","yes","yes","yes","na","na","yes","na","yes","yes","Central","no","male",2,44
